id,title,description,link,image_link,availability,price,brand,identifier_exists,
SJ9296-292,Gilded Scroll & Flower Heart Pendant,Hand polished delicate flowers and leaves shine against an etched Florentine textured background on this dimensional heart pendant. Finished in 18K Gold and hand-set with Swarovski blush crystals – the heart swings from a gold finished steel chain. From the Jay Strongwater Rhode Island workshop.,https://www.jaystrongwater.com/wedding-1/gilded-scroll-flower-heart-pendant-sj9296-292,https://www.jaystrongwater.com/img/product/SJ9296-292_1-Z.jpg?fv=08BE12A440EAC039FF281FDDEEC1D44B-27715,In Stock,187.50,Jay Strongwater,no,
SDH8883-281,Greta Butterfly & Floral Perfume Bottle,A jeweled butterfly perches on the flower and leaf engraved top of the alluring Greta perfume bottle. Hand polished pewter finished in 18K Gold with painted washes of blush and opal pink enamels accentuating the fine textures of the design. Gently twinkling with hand-set Swarovski crystals in shades of silk - antique rose and opal. Metal crafted at the Jay Strongwater Rhode Island workshop and hand-blown glass bottle rippling with soft gold flecks.,https://www.jaystrongwater.com/wedding-1/greta-butterfly-floral-perfume-bottle-sdh8883-281,https://www.jaystrongwater.com/img/product/SDH8883-281_1-Z.jpg?fv=3F7AF8C673FB7FBB7A10DB1A7AF58A1A-76956,In Stock,595,Jay Strongwater,no,
SDH8884-281,Kayla Flip Mirror,A breathtaking moment – the Kayla butterfly and floral mirror is a very personal expression of our love to create designs that bring a stunning romance to your home. The sweeping stand of flora and fauna elegantly embracing the engraved framed turning mirror. Carved in multiple parts of pewter - hand-polished and finished in 18K Gold. Hand-painted washes of blush and opal pink enamels accentuate the fine textures on each leaf - flower and butterfly. Hand-set with over one thousand Swarovski crystals in twinkling shades of silk - antique rose and opal. The talent of our finest artisans at the Jay Strongwater Rhode Island workshop truly shines.,https://www.jaystrongwater.com/wedding-1/kayla-flip-mirror-sdh8884-281,https://www.jaystrongwater.com/img/product/SDH8884-281_1-Z.jpg?fv=74AFDD75C88DDEFC94EC4E10000405FA-90510,In Stock,4800,Jay Strongwater,no,
SDH7389-292,Jasmine Branch & Flower Box,In the Composition collection - we set aside our enamels and crystals allowing the natural beauty of the carved metals to shine through. A lavish bouquet of golden flowers - leaves and a butterfly are draped over the long porcelain Jasmine box. Casted in pewter and hand-polished with an 18K gold finish by our artisans in Rhode Island the bouquet of flowers - leaves and butterfly adorn a cream glazed porcelain box masterfully crafted in Portugal.,https://www.jaystrongwater.com/wedding-1/jasmine-branch-flower-box-sdh7389-292,https://www.jaystrongwater.com/img/product/SDH7389-292_1-Z.jpg?fv=E51130CDD6AA0F44C95FF3509DC885E9-43631,In Stock,712.50,Jay Strongwater,no,
SDH2416-295,Arabella Floral Vine Pitcher,A part of our first collection of hand-painted glass entertaining pieces - the Arabella Floral Platinum Vine Pitcher will bring sophistication to your next dining soiree. An antique textile pattern inspires the gold- - silver- - and cream-toned floral blossoms that wrap around this design - embellished with delicate Swarovski® crystals. The same artisans that paint our legendary holiday ornaments hand-paint all the glassware in Poland.,https://www.jaystrongwater.com/wedding-1/arabella-floral-vine-pitcher-sdh2416-295,https://www.jaystrongwater.com/img/product/SDH2416-295_1-Z.jpg?fv=014AEBCB43F11D3523CF5469AA7F7774-88542,In Stock,495,Jay Strongwater,no,
SPF5840-232,Quinn Braided 3.5in x 5in Frame,The braided - hand-painted Quinn Braided 3.5in x 5in Frame - finished in cream-colored enamel and luxe 18K gold - is the picture of classic elegance. Mix and match these versatile braided frames with a variety of colors and finishes.,https://www.jaystrongwater.com/wedding-1/quinn-braided-3-5-x-5-frame-spf5840-232,https://www.jaystrongwater.com/img/product/SPF5840-232_1-Z.jpg?fv=57E8B8FF7C592F68F6AE492013590466-92112,In Stock,295,Jay Strongwater,no,
SJ9317-292,Scroll & Flower Heart Pearl Necklace,Hand polished delicate flowers and leaves shine against an etched Florentine textured background on this dimensional heart pendant. Finished in 18K Gold and hand-set with Swarovski blush crystals – the heart swings from a glass pearl necklace. From the Jay Strongwater Rhode Island workshop.,https://www.jaystrongwater.com/wedding-1/scroll-flower-heart-pearl-necklace-sj9317-292,https://www.jaystrongwater.com/img/product/SJ9317-292_1-Z.jpg?fv=6B001DCB7F6EAF0FEB92BD0B5265DB68-26695,In Stock,296.25,Jay Strongwater,no,
SDH1063-232,Vivienne Duchess Cake Knife,Our Vivienne Duchess Cake Knife is a very special serving piece indeed. Cut the cake in style with an engraved blade and hand-enameled - crystal-encrusted handle.,https://www.jaystrongwater.com/wedding-1/vivienne-duchess-cake-knife-sdh1063-232,https://www.jaystrongwater.com/img/product/SDH1063-232_1-Z.jpg?fv=8B538905DABEBF614FD1F1D84D7D033A-27169,In Stock,495,Jay Strongwater,no,
SPF5860-292,Dacia Floral Branch 8in x 10in Frame,In the Composition collection - we set aside our enamels and crystals allowing the natural beauty of the carved metals to shine through. A graceful composition of metal twigs and floral blossoms surround the Dacia frame in delicate beauty. Casted in pewter and hand-polished with a 18K gold finish by our master artisans in Rhode Island. This Dacia frame is complete with a mahogany finished wood back plate and kick stand allowing it to stand vertically or horizontally.,https://www.jaystrongwater.com/wedding-1/dacia-floral-branch-8-x-10-frame-spf5860-292,https://www.jaystrongwater.com/img/product/SPF5860-292_1-Z.jpg?fv=A1208941A72D2FC6A75B07FA1738F348-75987,In Stock,746.25,Jay Strongwater,no,
SDH7389-289,Clara Floral Branch Box, A lavish bouquet of flowers and leaves are draped over the long porcelain Clara box alighted with a jeweled butterfly. Casted in pewter - finished in 18K gold and beautifully painted in shades of magenta - plum and lilac enamels by our finest artisans in Rhode Island. This box sparkles with hand-set Swarovski crystals. Cream glazed porcelain with a high-fired gold edging crafted in Portugal.,https://www.jaystrongwater.com/vanity/clara-floral-branch-box-sdh7389-289,https://www.jaystrongwater.com/img/product/SDH7389-289_alt1-Z.jpg?fv=679AF0AE47BA69DBFF2D72A42B80F361-44690,In Stock,900,Jay Strongwater,no,
SCB8077-202,Bette Eye Compact, The Bette Eye Compact is the quintessential Hollywood glamour accessory! How chic to hold this bright fuchsia enameled compact with its bewitching jeweled eye with dazzling crystals. Gently push the jeweled button closure and reveal two mirrors to make sure you always look gorgeous. ,https://www.jaystrongwater.com/vanity/bette-eye-compact-scb8077-202,https://www.jaystrongwater.com/img/product/SCB8077-202_small-Z.jpg?fv=20AED525F02D1679B2D39113242F570F-72661,In Stock,225,Jay Strongwater,no,
SCB8411-232,Schuyler Maltese Bejeweled Compact,A pretty little accessory. The Schuyler Maltese Bejeweled Compact is made with faceted - hand-set cushion- - pear- - and marquis-cut crystal stones in silk - opal - and topaz hues.,https://www.jaystrongwater.com/vanity/schuyler-maltese-bejeweled-compact-scb8411-232,https://www.jaystrongwater.com/img/product/SCB8411-232_1-Z.jpg?fv=C7A04A264605AFF33A0B27B50435AA1B-95746,In Stock,120,Jay Strongwater,no,
SDH1413-284,Maya Anemone Tray, A very personal expression of our craftsmanship to behold and use every day. The Maya Anemone Trinket Tray is perfect for holding your special treasures. ,https://www.jaystrongwater.com/vanity/maya-anemone-tray-sdh1413-284,https://www.jaystrongwater.com/img/product/SDH1413-284_w-Z.jpg?fv=C55BF168546A429AA01ECAF580530EA2-70182,In Stock,295,Jay Strongwater,no,
SCB8411-232,Schuyler Maltese Bejeweled Compact,A pretty little accessory. The Schuyler Maltese Bejeweled Compact is made with faceted - hand-set cushion- - pear- - and marquis-cut crystal stones in silk - opal - and topaz hues.,https://www.jaystrongwater.com/wedding-1/schuyler-maltese-bejeweled-compact-scb8411-232,https://www.jaystrongwater.com/img/product/SCB8411-232_1-Z.jpg?fv=C7A04A264605AFF33A0B27B50435AA1B-95746,In Stock,120,Jay Strongwater,no,
